[2025-06-07T14:32:36.219Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:36.816Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:37.146Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:37.480Z] [INFO] Calling Anthropic API with 2 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:37.829Z] [INFO] Calling Anthropic API with 2 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:38.341Z] [INFO] Calling Anthropic API with 2 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:32:38.750Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:39.879Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-7-sonnet-20250219, disable_parallel_tool_use=false
[2025-06-07T14:32:40.288Z] [INFO] Calling Anthropic API with 1 tools, model=invalid-model, disable_parallel_tool_use=false
[2025-06-07T14:32:40.697Z] [INFO] Calling Anthropic API with 0 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:42.335Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:42.846Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:43.185Z] [INFO] Calling Anthropic API with 0 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:44.115Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:44.502Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:44.502Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:32:44.502Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
