[2025-06-07T14:35:07.836Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:10.162Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:11.650Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:13.021Z] [INFO] Calling Anthropic API with 2 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:15.405Z] [INFO] Calling Anthropic API with 2 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:17.390Z] [INFO] Calling Anthropic API with 2 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=false
[2025-06-07T14:35:19.716Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:23.250Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:28.792Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-7-sonnet-20250219, disable_parallel_tool_use=true
[2025-06-07T14:35:32.067Z] [INFO] Calling Anthropic API with 1 tools, model=invalid-model, disable_parallel_tool_use=true
[2025-06-07T14:35:32.532Z] [INFO] Calling Anthropic API with 0 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:33.687Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:37.862Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:38.237Z] [INFO] Calling Anthropic API with 0 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:39.233Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:41.243Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:41.243Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
[2025-06-07T14:35:41.243Z] [INFO] Calling Anthropic API with 1 tools, model=claude-3-5-haiku-latest, disable_parallel_tool_use=true
